,is_attack,P101,P203,P205,P301,P401,P601,MV301,MV302,MV304,UV401,MV101,MV201,MV303,AIT503,FIT101,LIT101,AIT202,AIT203,FIT201,DPIT301,FIT301,LIT301,AIT402,FIT401,LIT401,AIT501,AIT502,AIT504,FIT501,FIT502,FIT503,FIT504,PIT501,PIT502,PIT503,FIT601,AIT201,classification
0,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,0.0,729.8658,9.293002,198.077423,2.335437,1.19085729,0.000512443,730.7021,87.9518051,0.7817402,1000.62805,7.4896183,147.3981,46.0651131,0.781594455,0.3103625,0.6236277,0.2134324,167.601257,0.0296350884,119.921173,0.000320379,1.42527557,0.0
1,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,0.0,729.434,9.293002,240.194824,2.335437,1.19085729,0.000512443,730.902344,87.82363,0.782380462,1000.55115,7.4896183,147.3981,45.7575,0.7822353,0.315101832,0.6236277,0.212984011,167.601257,2.96350884,119.921173,0.000320379,142.527557,0.0
2,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,0.0,727.7069,9.289157,198.89772,2.335437,1.13323522,0.0512443,1007.87463,87.61856,0.781228,1000.39734,7.4896183,69.64881,45.2191734,0.7837734,0.303445637,0.6236277,0.2140089,167.601257,2.96350884,119.921173,0.000320379,142.527557,0.0
5,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,0.0,727.157349,9.289157,199.154068,2.33454013,1.19085729,5.12443e-06,733.9865,87.61856,0.781228,800.2948,7.4896183,146.962311,45.10382,0.7839016,0.296272576,0.6236277,0.214649454,167.601257,2.96350884,119.921173,0.000320379,142.527557,0.0
6,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,0.0,726.490051,9.289157,199.282242,2.33454013,1.19085729,0.000512443,734.427063,87.61856,0.781228,999.897461,7.4896183,146.936676,44.91156,0.7839016,0.2957602,0.6259322,0.212663725,167.601257,2.96350884,119.921173,0.000320379,142.527557,0.0
7,0,2,2,1,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,2,2,1,2,1,CLOSED,CLOSED,CLOSED,2,CLOSED,OPEN,CLOSED,1016.27789,0.0,725.2732,9.289157,199.794922,2.33454013,1.19085729,0.000512443,736.5099,0.8741348,0.7825085,999.666748,7.755896,146.705978,44.3347855,0.7839016,0.316638917,0.62644434,0.212663725,167.601257,2.96350884,119.921173,0.000320379,144.033585,0.0
