,FIT101,LIT101,AIT202,AIT203,FIT201,DPIT301,FIT301,LIT301,AIT402,FIT401,LIT401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,PIT501,PIT502,PIT503,FIT601,AIT201
FIT101,1.0,-0.4213326526838166,0.3120291265346304,0.4911811777497725,-0.16151407959811515,-0.09248801586210262,0.3751158168520471,-0.16700250028615315,0.01034063060628276,0.05742995940618047,0.2107910812409388,-0.09559118133867266,0.14169263256356338,-0.2805728729234114,-0.012632606173897663,0.0454223300022652,0.07119974493203017,-0.030181327867381598,-0.0496554631298144,-0.018892923208283854,0.16616284337703807,-0.023341033053663363,0.13247081109317096,0.041255582117787355
LIT101,-0.4213326526838166,1.0,-0.5590509175891619,-0.6139803512696523,0.6267364157679848,0.12150576491483843,-0.05315377055598993,-0.28735585352003534,-0.1617725287201411,-0.10069697090694565,-0.3564412960950939,0.14968483880246652,-0.04703744546683547,0.12080812300315678,-0.08763175629933775,-0.079008402002759,-0.18209960859418187,0.05746974943850709,0.09072667404913157,0.03240223926656448,-0.15410961531099882,0.04162840923161016,-0.26625196555546493,0.1319830324515114
AIT202,0.3120291265346304,-0.5590509175891619,1.0,0.5390391793537036,-0.5549301356805363,-0.1526752418429764,0.06638567910429659,0.12469381790006959,0.04147261608780245,0.03487264920525716,0.3881511372568625,-0.22970424582330198,0.12682457089153457,-0.03475790384133888,0.016167611720536747,0.010313494209738436,-0.07435952405148992,0.01840500107886489,-0.013208522626810772,0.054773495704525665,0.37732219699661085,0.03584589660631609,0.15660078701841124,0.36033755830426506
AIT203,0.4911811777497725,-0.6139803512696523,0.5390391793537036,1.0,-0.3341680913185632,-0.10829291634222338,0.21422772374692148,-0.06209486846193977,0.08441290869405824,0.0517264791809585,0.28427475778515043,0.18899177536795916,0.3953583359739146,-0.18061722782706527,-0.28425177130473445,0.0343304314376512,0.029148325001334442,-0.03369260320858675,-0.042012197290634504,-0.022998097707117676,0.21539639419155976,-0.01910257766815389,0.1684959183101208,-0.021672792165842482
FIT201,-0.16151407959811515,0.6267364157679848,-0.5549301356805363,-0.3341680913185632,1.0,0.08995525079890347,0.1436495126800862,-0.3109444082453411,-0.13024686819001957,-0.09742992232446339,-0.33982485255173045,0.009304258208687195,0.052405789546269066,0.1187776399622666,-0.0753858516201292,-0.030952452804064664,-0.029067366300555474,0.021972468905883974,0.0476974503266202,-0.0024413764859772297,-0.048753886291471246,0.006024739938372905,-0.23865509217525532,0.08805951632661328
DPIT301,-0.09248801586210262,0.12150576491483843,-0.1526752418429764,-0.10829291634222338,0.08995525079890347,1.0,-0.10504334740577398,0.017501365091841452,-0.03465025208342772,-0.23023860696672024,-0.19846288215563365,0.02810654703347412,-0.01994204896287277,0.03593194800642886,-0.02458288087242237,-0.10995229673001931,-0.08972205168606459,0.10281843971995448,0.12196177715327852,0.10101234522722582,-0.07043208641819941,0.10573552136934615,-0.019983849190940005,-0.020103787178910575
FIT301,0.3751158168520471,-0.05315377055598993,0.06638567910429659,0.21422772374692148,0.1436495126800862,-0.10504334740577398,1.0,-0.6026892102329464,0.021916750777986743,0.09976247589118856,0.03454144032349902,-0.2155193379058916,-0.008879222254670405,-0.03861898065706071,0.11709788989917938,0.08058034310865309,0.07323358521995806,-0.06361046987782258,-0.08093363275614156,-0.04789824230333295,0.18617592796632684,-0.05775819957856437,0.020661939519611153,-0.051085528008430005
LIT301,-0.16700250028615315,-0.28735585352003534,0.12469381790006959,-0.06209486846193977,-0.3109444082453411,0.017501365091841452,-0.6026892102329464,1.0,0.03576664700979758,0.03476806561420952,0.11406610283912112,-0.10946731055930382,-0.046593343636002524,0.04921182017559838,0.02300231539863717,0.09029101832022665,-0.01647035222827337,-0.07758738922176067,-0.08529239523798952,-0.07091603801146026,0.038678151205712136,-0.07716720643596248,0.038661665468819315,0.12510587093034511
AIT402,0.01034063060628276,-0.1617725287201411,0.04147261608780245,0.08441290869405824,-0.13024686819001957,-0.03465025208342772,0.021916750777986743,0.03576664700979758,1.0,-0.06383471469172652,0.09579481357640975,0.06910745990598324,-0.1618027040841112,-0.2491201455833187,0.21745907170605094,-0.0010914318053481475,0.13032972924519426,0.013650546571286991,-0.011940000044024726,0.006765931673151745,-0.06522345574575523,0.009162150937735538,-0.0025424614368237514,-0.10558110451282574
FIT401,0.05742995940618047,-0.10069697090694565,0.03487264920525716,0.0517264791809585,-0.09742992232446339,-0.23023860696672024,0.09976247589118856,0.03476806561420952,-0.06383471469172652,1.0,0.09615843615319324,-0.025575101714384638,0.05329071720419585,-0.04746115180180413,-0.015898096924883594,0.7361936031648059,0.3671225179372824,-0.7237779760494144,-0.7202302209222647,-0.7138752008670224,0.2481815581911947,-0.7234547930499161,-0.10860498344615031,0.01721834734890951
LIT401,0.2107910812409388,-0.3564412960950939,0.3881511372568625,0.28427475778515043,-0.33982485255173045,-0.19846288215563365,0.03454144032349902,0.11406610283912112,0.09579481357640975,0.09615843615319324,1.0,-0.11241732054552492,-0.01091203557313592,-0.04446087800587182,0.0369724291813419,0.06910407592435025,0.04487867062606299,-0.05529290228445052,-0.07251720670944546,-0.03285860185295165,0.1455188828836468,-0.04326715578767701,0.09586757206187549,0.08257521539426665
AIT501,-0.09559118133867266,0.14968483880246652,-0.22970424582330198,0.18899177536795916,0.009304258208687195,0.02810654703347412,-0.2155193379058916,-0.10946731055930382,0.06910745990598324,-0.025575101714384638,-0.11241732054552492,1.0,0.13387168361045082,-0.23749884312251093,-0.5020205658788307,-0.0002298356444163995,0.10717440728484551,-0.061104344630086245,-0.01972912965193185,-0.09956686290819973,-0.4508961721925508,-0.06377455623888803,0.028225154511862326,-0.3794691595394354
AIT502,0.14169263256356338,-0.04703744546683547,0.12682457089153457,0.3953583359739146,0.052405789546269066,-0.01994204896287277,-0.008879222254670405,-0.046593343636002524,-0.1618027040841112,0.05329071720419585,-0.01091203557313592,0.13387168361045082,1.0,-0.028834944653288695,-0.44465556914865484,0.06504224839895861,-0.054711600796054576,-0.06893178840114354,-0.04424820371057398,-0.0851102786101218,0.16332859429768765,-0.07532607324530283,-0.058478120696345504,0.20505242385361333
AIT503,-0.2805728729234114,0.12080812300315678,-0.03475790384133888,-0.18061722782706527,0.1187776399622666,0.03593194800642886,-0.03861898065706071,0.04921182017559838,-0.2491201455833187,-0.04746115180180413,-0.04446087800587182,-0.23749884312251093,-0.028834944653288695,1.0,0.09322329767409265,-0.06301996541456988,-0.11561857571516075,0.06962134116852747,0.0710595083292021,0.07667695669072926,0.09553683637268384,0.06905200299831973,-0.04008758010991494,0.018906898811824138
AIT504,-0.012632606173897663,-0.08763175629933775,0.016167611720536747,-0.28425177130473445,-0.0753858516201292,-0.02458288087242237,0.11709788989917938,0.02300231539863717,0.21745907170605094,-0.015898096924883594,0.0369724291813419,-0.5020205658788307,-0.44465556914865484,0.09322329767409265,1.0,-0.02897498243931323,0.0031815808377013027,0.055043671550060624,0.01863740093365911,0.08688804753483115,0.08168377061331973,0.06386730641680828,0.08668722961958716,-0.023243454994770554
FIT501,0.0454223300022652,-0.079008402002759,0.010313494209738436,0.0343304314376512,-0.030952452804064664,-0.10995229673001931,0.08058034310865309,0.09029101832022665,-0.0010914318053481475,0.7361936031648059,0.06910407592435025,-0.0002298356444163995,0.06504224839895861,-0.06301996541456988,-0.02897498243931323,1.0,0.5255576539967367,-0.9617226110212452,-0.953866711098244,-0.9575323972456811,0.34608083794145444,-0.9617001013749074,-0.04072497827558164,0.07328523592583441
FIT502,0.07119974493203017,-0.18209960859418187,-0.07435952405148992,0.029148325001334442,-0.029067366300555474,-0.08972205168606459,0.07323358521995806,-0.01647035222827337,0.13032972924519426,0.3671225179372824,0.04487867062606299,0.10717440728484551,-0.054711600796054576,-0.11561857571516075,0.0031815808377013027,0.5255576539967367,1.0,-0.5252929295372457,-0.5307907646329594,-0.5441865697784453,0.03153832305394792,-0.5318239421278411,0.05729273347303841,-0.3373001678456359
FIT503,-0.030181327867381598,0.05746974943850709,0.01840500107886489,-0.03369260320858675,0.021972468905883974,0.10281843971995448,-0.06361046987782258,-0.07758738922176067,0.013650546571286991,-0.7237779760494144,-0.05529290228445052,-0.061104344630086245,-0.06893178840114354,0.06962134116852747,0.055043671550060624,-0.9617226110212452,-0.5252929295372457,1.0,0.9403535981479456,0.950252120336436,-0.3033714663067383,0.9522707078768516,0.036503891289619526,-0.038084112464280916
FIT504,-0.0496554631298144,0.09072667404913157,-0.013208522626810772,-0.042012197290634504,0.0476974503266202,0.12196177715327852,-0.08093363275614156,-0.08529239523798952,-0.011940000044024726,-0.7202302209222647,-0.07251720670944546,-0.01972912965193185,-0.04424820371057398,0.0710595083292021,0.01863740093365911,-0.953866711098244,-0.5307907646329594,0.9403535981479456,1.0,0.9353557307217442,-0.3197435884370302,0.93987275437342,0.02836002785124226,-0.04576879097013849
